index,album,entity_album,singer,identity,digit_date,price2,price,song_number,sales_volumn,total-sale,digit_album_img,entity_album_date,diff,entity-platform,entity_price,entity_type,entity_img,entity_thing,singer-img
70,欲控,欲控,毕雯珺,组合成员,2020/11/21,3.0,3.0,1,396624,1189872.0,https://y.qq.com/music/photo_new/T002R300x300M0000004SUXB3KoAoB_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002JKzM30KcGWt_3.jpg?max_age=2592000
71,名为你的摄影集,名为你的摄影集,毕雯珺,组合成员,2019/11/26,3.0,3.0,1,44716,134148.0,https://y.qq.com/music/photo_new/T002R300x300M000002yKtUX2xX4VU_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002JKzM30KcGWt_3.jpg?max_age=2592000
72,Bself,Bself,毕雯珺,组合成员,2022/8/10,12.0,12.0,3,37043,444516.0,https://y.qq.com/music/photo_new/T002R300x300M000004Pemkl0DEKWH_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002JKzM30KcGWt_3.jpg?max_age=2592000
73,一辈子(A Lifetime),一辈子(A Lifetime),卜凡,大陆歌手,2019/7/12,3.0,3.0,1,141003,423009.0,https://y.qq.com/music/photo_new/T002R300x300M000004WsckQ0UaeID_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002L2rUJ4PHACg_5.jpg?max_age=2592000
74,新大陆,新大陆,布瑞吉Bridge,rapper,2018/10/22,1.0,1.0,16,241347,241347.0,https://y.qq.com/music/photo_new/T002R300x300M000003it0fc4JmIgR_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001Lrgte0IFmBq_6.jpg?max_age=2592000
75,傻子与白痴,傻子与白痴,蔡维泽,大陆歌手,2018/8/3,5.0,5.0,2,44049,220245.0,https://y.qq.com/music/photo_new/T002R300x300M000003sDAJa0oFEfa_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000kWNAU3XqWhI_2.jpg?max_age=2592000
76,YOUNG,YOUNG,蔡徐坤,大陆歌手,2019/7/26,5.0,5.0,2,14569948,72849740.0,https://y.qq.com/music/photo_new/T002R300x300M0000019Oi682i0RfX_6.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002nXp292LIOGV_7.jpg?max_age=2592000
77,迷,迷,蔡徐坤,大陆歌手,2021/4/13,26.0,26.0,11,3480378,90489828.0,https://y.qq.com/music/photo_new/T002R300x300M000003jicxY0UK9ew_6.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002nXp292LIOGV_7.jpg?max_age=2592000
78,UGLY BEAUTY,UGLY BEAUTY,蔡依林,台湾歌手,2018/12/26,20.0,20.0,11,832976,16659520.0,https://y.qq.com/music/photo_new/T002R300x300M000004KHjpn0p4Az7_1.jpg?max_age=2592000,2018/12/26,0.0,五大唱片/博客来/佳佳,119.82,CD,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/021/81/0020218177.jpg&v=5f1044c4k&w=348&h=348,歌词,https://y.qq.com/music/photo_new/T001R300x300M0000027pdHE4STooO_5.jpg?max_age=2592000
79,幸福路上,幸福路上,蔡依林,台湾歌手,2017/11/20,2.0,2.0,1,177611,355222.0,https://y.qq.com/music/photo_new/T002R300x300M0000025q7k81QUS8p_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000027pdHE4STooO_5.jpg?max_age=2592000
80,行吟,行吟,曹秦,大陆歌手,2021/8/23,20.0,20.0,13,154,3080.0,https://y.qq.com/music/photo_new/T002R300x300M000003WvP5n12ERwh_1.jpg?max_age=2592000,2021/8/25,2.0,享乐音乐,68.0,CD,https://static.xlpai.com/upload/image/23/4b/de/234bdeb2213db541ae995b1740efd4dd.jpg_750x750.jpg,歌词,https://y.qq.com/music/photo_new/T001R300x300M000003ki7u427nUIN_2.jpg?max_age=2592000
81,SELF,SELF,曾可妮 / 刘令姿,合作歌手,2020/10/13,6.0,6.0,3,121361,728166.0,https://y.qq.com/music/photo_new/T002R300x300M000003UdyNQ40TpTb_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000040ZJct3LllV2_4.jpg?max_age=2592000
82,同酌,同酌,查杰,大陆歌手,2023/5/20,4.0,4.0,1,547,2188.0,https://p2.music.126.net/JYbdngElXT2y_MZD3aBr4w==/109951168620026315.jpg?param=140y140,,,,,,,,https://p1.music.126.net/9042iZ09WP8A3yzZzP1Ltw==/109951168622510278.jpg
83,戏韵文音 (上·胡笳十八拍),戏韵文音 (上·胡笳十八拍),朝简 / 史依弘 / 窦唯,合作歌手,2022/10/18,30.0,30.0,1,2498,74940.0,https://y.qq.com/music/photo_new/T002R300x300M000003rR9Gb1tj4je_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592020
84,戏韵文音 (二十四诗品),戏韵文音 (二十四诗品),朝简 / 史依弘 / 窦唯,合作歌手,2022/10/24,30.0,30.0,1,2379,71370.0,https://y.qq.com/music/photo_new/T002R300x300M000002yb7cX1jvat3_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592020
85,侦探C,侦探C,陈楚生&SPY.C,合作歌手,2017/3/29,12.0,12.0,10,8991,109458.0,https://y.qq.com/music/photo_new/T002R300x300M000002NeW043BnC7S_1.jpg?max_age=2592000,2017/4/8,10.0,京东,64.0,CD,https://m.360buyimg.com/mobilecms/s750x750_jfs/t3256/139/9726227221/375644/5304dbf5/58df684dN6fb36bf1.jpg!q80.dpg,歌词,https://y.qq.com/music/photo_new/T001R300x300M000000uVrpr28K9BS_2.jpg?max_age=2592000
86,一只猴子 第三部曲,一只猴子 第三部曲,陈冠希,香港歌手,2017/9/3,15.0,15.0,8,53651,804765.0,https://y.qq.com/music/photo_new/T002R300x300M000003x5EH21JrmJ6_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002FwRkR17Hl2X_2.jpg?max_age=2592000
87,一只猴子 第二部曲,一只猴子 第二部曲,陈冠希,香港歌手,2017/9/29,5.0,5.0,3,36067,180335.0,https://y.qq.com/music/photo_new/T002R300x300M000002EJj6Y28uzlC_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002FwRkR17Hl2X_2.jpg?max_age=2592000
88,一只猴子 第一部曲,一只猴子 第一部曲,陈冠希,香港歌手,2018/1/11,20.0,20.0,9,15669,313380.0,https://y.qq.com/music/photo_new/T002R300x300M000000rbhoy2OUEYK_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002FwRkR17Hl2X_2.jpg?max_age=2592000
89,2018与荒野音乐会LIVE专辑,2018与荒野音乐会LIVE专辑,陈鸿宇,香港歌手,2018/9/17,17.7,17.7,10,12641,225191.4,https://y.qq.com/music/photo_new/T002R300x300M000003KoVLK4HWdO4_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001SXl8y2mQobu_3.jpg?max_age=2592000
90,一半是我,一半是我,陈立农,大陆歌手,2019/1/1,3.0,3.0,1,2869420,8608260.0,https://y.qq.com/music/photo_new/T002R300x300M000000lI2WE4F4K2p_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000W6adM4E0PK6_8.jpg?max_age=2592000
91,我是你的,我是你的,陈立农,大陆歌手,2018/10/3,3.0,3.0,1,2177311,6531933.0,https://y.qq.com/music/photo_new/T002R300x300M000000BT7a82jqNKM_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000W6adM4E0PK6_8.jpg?max_age=2592000
92,格格不入,格格不入,陈立农,大陆歌手,2020/5/29,20.0,20.0,12,719705,14436515.0,https://y.qq.com/music/photo_new/T002R300x300M000003ehyNg2jOrKT_2.jpg?max_age=2592000,2020/5/29,0.0,京东,188.0,CD,https://img14.360buyimg.com/n1/jfs/t1/113064/18/17743/117912/5f5ec9e0E7de684f0/053477b3ad1a8540.jpg.avif,海报/写真集/歌词/,https://y.qq.com/music/photo_new/T001R300x300M000000W6adM4E0PK6_8.jpg?max_age=2592000
93,桃浦男孩,桃浦男孩,陈立农,大陆歌手,2020/10/3,3.0,3.0,1,247081,741243.0,https://y.qq.com/music/photo_new/T002R300x300M000004bu9xf3h8HY3_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000W6adM4E0PK6_8.jpg?max_age=2592000
94,日心说 The Heliocentrism,日心说The Heliocentrism,陈立农,大陆歌手,2021/12/31,25.0,25.0,12,146382,3659550.0,https://y.qq.com/music/photo_new/T002R300x300M000002duF1F0P8brM_2.jpg?max_age=2592000,2022/5/6,126.0,京东,188.0,CD,https://img14.360buyimg.com/n1/s546x546_jfs/t1/79378/17/18670/127948/627a199bEed150186/72cbe582899c9651.jpg.avif,歌词/写真集,https://y.qq.com/music/photo_new/T001R300x300M000000W6adM4E0PK6_8.jpg?max_age=2592000
95,小梦大半,小梦大半,陈粒,大陆歌手,2016/7/26,20.0,20.0,10,83210,1787666.0,https://y.qq.com/music/photo_new/T002R300x300M000004fAhFe0fdHYF_1.jpg?max_age=2592000,2016/8/9,14.0,京东,120.0,CD,https://y.qq.com/music/photo_new/T002R300x300M000004fAhFe0fdHYF_1.jpg?max_age=2592000,歌词,https://y.qq.com/music/photo_new/T001R300x300M000004WgCsE3KBddt_3.jpg?max_age=2592000
96,玩,玩,陈粒,大陆歌手,2018/7/26,25.0,25.0,10,71692,1792300.0,https://y.qq.com/music/photo_new/T002R300x300M000003EHTi528PvZt_1.jpg?max_age=2592000,2018/10/15,81.0,京东,120.0,CD,https://m.360buyimg.com/mobilecms/s750x750_jfs/t1/20980/8/5444/345489/5c3ec5d1E0fbd535c/a030ba48cac0d8f2.jpg!q80.dpg,歌词/海报/写真集,https://y.qq.com/music/photo_new/T001R300x300M000004WgCsE3KBddt_3.jpg?max_age=2592000
97,大自在,大自在,陈粒,大陆歌手,2018/3/19,1.0,1.0,1,71680,71680.0,https://y.qq.com/music/photo_new/T002R300x300M000004TSoOf1Ehr9l_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004WgCsE3KBddt_3.jpg?max_age=2592000
98,陈粒“在蓬莱”in Blue Note Beijing,陈粒“在蓬莱”in Blue Note Beijing,陈粒,大陆歌手,2017/7/26,12.0,12.0,7,63905,766860.0,https://y.qq.com/music/photo_new/T002R300x300M0000047UARB3XhVX6_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004WgCsE3KBddt_3.jpg?max_age=2592000
99,幻期颐,幻期颐,陈粒,大陆歌手,2016/3/8,2.0,2.0,1,43198,94568.0,https://y.qq.com/music/photo_new/T002R300x300M000002YWZDu1UoBIf_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004WgCsE3KBddt_3.jpg?max_age=2592000
100,悠长假期,悠长假期,陈粒,大陆歌手,2021/8/17,25.0,25.0,10,33993,849825.0,https://y.qq.com/music/photo_new/T002R300x300M000001908YE1JKe7c_3.jpg?max_age=2592000,2021/12/28,133.0,京东,120.0,CD,https://img12.360buyimg.com/n1/jfs/t1/163058/20/24445/83430/61c95c99E72ac0ebd/16959c9c0d7493ec.jpg,歌词/笔/羊皮套,https://y.qq.com/music/photo_new/T001R300x300M000004WgCsE3KBddt_3.jpg?max_age=2592000
101,隐形兽,隐形兽,陈粒,大陆歌手,2016/6/1,2.0,2.0,1,19322,39586.0,https://y.qq.com/music/photo_new/T002R300x300M000003CTnxz4bqxFg_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004WgCsE3KBddt_3.jpg?max_age=2592000
102,战神卡尔迪亚,战神卡尔迪亚,陈珊妮,台湾歌手,2017/10/3,12.0,12.0,10,6903,83806.0,https://y.qq.com/music/photo_new/T002R300x300M000004dJnZ41Evpqi_1.jpg?max_age=2592000,2017/10/3,0.0,五大唱片/博客来/佳佳,122.13,CD,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/020/07/0020200717.jpg&v=59ccb309k&w=348&h=348,歌词,https://y.qq.com/music/photo_new/T001R300x300M000000NqI9d1f4tCQ_3.jpg?max_age=2592000
103,让我留在你身边,让我留在你身边,陈奕迅,香港歌手,2016/11/8,2.0,2.0,1,5771018,11542036.0,https://y.qq.com/music/photo_new/T002R300x300M0000019Kyrr4RyQPS_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003Nz2So3XXYek_3.jpg?max_age=2592000
104,在这个世界相遇,在这个世界相遇,陈奕迅,香港歌手,2016/6/16,2.0,2.0,1,1794100,3588200.0,https://y.qq.com/music/photo_new/T002R300x300M000004dMsxC4gNo5U_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003Nz2So3XXYek_3.jpg?max_age=2592000
105,I Do,I Do,陈奕迅,香港歌手,2016/9/26,2.0,2.0,1,1092464,2184928.0,https://y.qq.com/music/photo_new/T002R300x300M000001KhJot0mfckd_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003Nz2So3XXYek_3.jpg?max_age=2592000
106,放 & 披风,放 & 披风,陈奕迅,香港歌手,2017/5/18,5.0,5.0,2,1043902,5219510.0,https://y.qq.com/music/photo_new/T002R300x300M000002PwV2y1kmddb_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003Nz2So3XXYek_3.jpg?max_age=2592000
107,海胆 & 谁来剪月光,海胆 & 谁来剪月光,陈奕迅,香港歌手,2017/8/4,5.0,5.0,2,976809,4884045.0,https://y.qq.com/music/photo_new/T002R300x300M000002R02Wk19WXlG_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003Nz2So3XXYek_3.jpg?max_age=2592000
108,L.O.V.E.,L.O.V.E.,陈奕迅,香港歌手,2018/12/12,20.0,20.0,15,736270,14725400.0,https://y.qq.com/music/photo_new/T002R300x300M000002hU81Y0FOVki_1.jpg?max_age=2592000,2019/5/14,153.0,享乐派,90.0,CD,https://y.qq.com/music/photo_new/T002R300x300M000002hU81Y0FOVki_1.jpg?max_age=2592000,徽章/歌词,https://y.qq.com/music/photo_new/T001R300x300M000003Nz2So3XXYek_3.jpg?max_age=2592000
109,C'mon in~,C'mon in~,陈奕迅,香港歌手,2017/10/9,20.0,20.0,10,419183,8383660.0,https://y.qq.com/music/photo_new/T002R300x300M000003pE4He2Mk0u6_1.jpg?max_age=2592000,2017/10/9,0.0,五大唱片/博客来/佳佳,115.2,CD,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/020/08/0020200897.jpg&v=59d5e196k&w=348&h=348,歌词,https://y.qq.com/music/photo_new/T001R300x300M000003Nz2So3XXYek_3.jpg?max_age=2592000
110,飞行模式,飞行模式,陈意涵Estelle,大陆歌手,2020/6/11,6.0,6.0,4,46648,280420.0,https://y.qq.com/music/photo_new/T002R300x300M000003HQf8r3mCUdw_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002yXVei3EgBnw_4.jpg?max_age=2592000
111,聚焦-X,聚焦-X,程潇,大陆歌手,2020/12/28,3.0,3.0,1,146596,439788.0,https://y.qq.com/music/photo_new/T002R300x300M000003kwOMO1ONGMT_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002DUcL420R8i1_5.jpg?max_age=2592000
112,Lonely Beauty,Lonely Beauty,程潇,大陆歌手,2022/2/25,4.0,4.0,1,22814,91256.0,https://y.qq.com/music/photo_new/T002R300x300M000004PZ2Ok2ueHvu_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002DUcL420R8i1_5.jpg?max_age=2592000
113,Imagine,Imagine,程潇,大陆歌手,2023/5/25,4.0,4.0,1,18226,72904.0,https://y.qq.com/music/photo_new/T002R300x300M000002tlikI3B3nuH_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002DUcL420R8i1_5.jpg?max_age=2592000
114,廿叁,廿叁,厨子和戏子,乐队,2018/3/23,3.0,3.0,4,2904,8712.0,https://y.qq.com/music/photo_new/T002R300x300M000004f6Y9P45TXqv_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001H6hhD17S7cb_2.jpg?max_age=2592000
115,赤子白仙,赤子白仙,刺猬,乐队,2020/7/13,20.0,20.0,12,48010,960200.0,https://p1.music.126.net/Zg2qr5s-iJAHH_RDTphoDA==/109951165125444849.jpg?param=140y140,2020/7/13,0.0,秀动,300.0,黑胶,https://p1.music.126.net/Zg2qr5s-iJAHH_RDTphoDA==/109951165125444849.jpg,歌词,https://p2.music.126.net/BFgHbG3pm4pDRFnI_OtChA==/109951168352000610.jpg
116,How we do it,How we do it,戴萌,大陆歌手,2021/5/18,3.0,3.0,1,389025,1167075.0,https://y.qq.com/music/photo_new/T002R300x300M000004Mgfbt0vgFBp_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004fZobQ1hDHq6_6.jpg?max_age=2592000
117,太阳的后裔台湾版片头片尾曲,太阳的后裔台湾版片头片尾曲,戴佩妮,台湾歌手,2016/6/16,4.0,4.0,2,13652,56954.0,https://y.qq.com/music/photo_new/T002R300x300M000003HiD7y02aj0v_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000012mAqa27UcEi_5.jpg?max_age=2592000
118,勇敢额度,勇敢额度,单依纯,大陆歌手,2022/1/2,20.0,20.0,10,56953,1139060.0,https://y.qq.com/music/photo_new/T002R300x300M000003HbqtO2E8JK2_1.jpg?max_age=2592000,2022/12/13,345.0,QQ音乐,279.0,黑胶,https://img12.360buyimg.com/n1/jfs/t1/132072/20/35978/30585/64c38b10Fd492205a/0830c68c7b797b3b.jpg,歌词/小卡/海报,https://y.qq.com/music/photo_new/T001R300x300M000002ug9Ha2zYM1y_7.jpg?max_age=2592000
119,D,D,邓典,大陆歌手,2018/8/3,5.0,5.0,2,49131,245655.0,https://y.qq.com/music/photo_new/T002R300x300M0000033rWL50daJct_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000mU3c82mo0K1_4.jpg?max_age=2592000
120,另一个童话,另一个童话,邓紫棋,香港歌手,2018/8/16,7.0,7.0,3,299098,2093714.0,https://y.qq.com/music/photo_new/T002R300x300M000003cKIKZ1J4Yyu_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001fNHEf1SFEFN_7.jpg?max_age=2592000
121,睡皇后,睡皇后,邓紫棋,香港歌手,2018/12/14,7.0,7.0,3,201798,1412586.0,https://y.qq.com/music/photo_new/T002R300x300M000003w92u63Kz75u_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001fNHEf1SFEFN_7.jpg?max_age=2592000
122,毒苹果,毒苹果,邓紫棋,香港歌手,2018/10/26,7.0,7.0,3,189133,1323973.0,https://y.qq.com/music/photo_new/T002R300x300M000000Qy6FL03pkEU_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001fNHEf1SFEFN_7.jpg?max_age=2592000
123,澈,澈,翟潇闻,大陆歌手,2022/5/28,18.0,18.0,5,106766,1921788.0,https://p2.music.126.net/Ho2amW1ibMwYiceCCWRL3A==/109951167471880011.jpg?param=140y140,2022/9/13,108.0,微店/网易云音乐,238.0,CD,https://si.geilicdn.com/pcitem1354708611-396b0000018322b1d2ae0a2313c4_700_700.jpg.webp?w=750&h=750&cp=1,杯子/海报/小卡/歌词/随写笔记/明信片/贴纸,https://p1.music.126.net/VDcDMDXk9TtNoR4X4LlpLg==/109951167485088428.jpg
124,糊得如此独特,糊得如此独特,丁飞俊,香港歌手,2020/3/23,6.0,6.0,3,16394,98364.0,https://y.qq.com/music/photo_new/T002R300x300M000003QTlp44aNP5V_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002twQM51cpmjs_4.jpg?max_age=2592000
125,无瑕,无瑕,丁泽仁,组合成员,2019/11/19,3.0,3.0,1,107392,322176.0,https://y.qq.com/music/photo_new/T002R300x300M000004UuNN40pwEik_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000HZ2dP0KPVnS_4.jpg?max_age=2592000
126,Circle,Circle,丁泽仁,组合成员,2020/11/19,3.0,3.0,1,62019,186057.0,https://y.qq.com/music/photo_new/T002R300x300M000002BOmSH0MRXDX_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000HZ2dP0KPVnS_4.jpg?max_age=2592000
127,大卫,大卫,丁泽仁,组合成员,2019/11/26,3.0,3.0,1,18902,56706.0,https://y.qq.com/music/photo_new/T002R300x300M000003lMlFa41OCVN_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000HZ2dP0KPVnS_4.jpg?max_age=2592000
128,一剑倾心,一剑倾心,董力,大陆歌手,2017/8/7,2.0,2.0,1,25396,50792.0,https://y.qq.com/music/photo_new/T002R300x300M000004PubDC01xNMn_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002B2C7O1Lnxru_2.jpg?max_age=2592000
129,没有什么不可以,没有什么不可以,董又霖,台湾歌手,2020/6/14,3.0,3.0,1,22397,67191.0,https://p2.music.126.net/N2h54-50_417ydAtSgQcOg==/109951165056972495.jpg?param=140y140,,,,,,,,https://p2.music.126.net/BTEl8qGrgqfJK58rv9txFg==/109951163406153411.jpg
130,River Run,River Run,窦靖童,大陆歌手,2015/12/11,2.0,2.0,1,45333,90666.0,https://y.qq.com/music/photo_new/T002R300x300M000001hyfzx3k4B0M_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000040qarZ1T5z55_5.jpg?max_age=2592000
131,宋词,宋词,窦唯 / 朝简,合作歌手,2021/5/1,10.0,10.0,5,15848,158480.0,https://y.qq.com/music/photo_new/T002R300x300M000000ywxUa4Tdr3r_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592000
132,元曲,元曲,窦唯 / 朝简,合作歌手,2021/5/1,10.0,10.0,4,9619,96190.0,https://y.qq.com/music/photo_new/T002R300x300M000001mcttX2nuPlE_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592003
133,白居易,白居易,窦唯 / 朝简,合作歌手,2021/8/22,20.0,20.0,2,6871,137420.0,https://y.qq.com/music/photo_new/T002R300x300M000003quInC4YKBN8_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592001
134,离骚,离骚,窦唯 / 朝简,合作歌手,2021/6/13,10.0,10.0,1,6146,61460.0,https://y.qq.com/music/photo_new/T002R300x300M000004REk3w1JtmBp_3.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592008
135,宋词,宋词,窦唯 / 朝简,合作歌手,2021/10/14,10.0,10.0,1,3655,36550.0,https://y.qq.com/music/photo_new/T002R300x300M000000ywxUa4Tdr3r_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592015
136,大招,大招,窦唯 / 朝简,合作歌手,2021/10/14,10.0,10.0,1,3558,35580.0,https://y.qq.com/music/photo_new/T002R300x300M000003KrL0e2zLb9z_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592016
137,“想象”跨年音乐会（上半场）,“想象”跨年音乐会（上半场）,窦唯 / 朝简,合作歌手,2021/12/31,30.0,30.0,1,3410,102300.0,https://y.qq.com/music/photo_new/T002R300x300M000003HYr9S06eQE8_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592002
138,百家弟子,百家弟子,窦唯 / 朝简,合作歌手,2021/5/31,10.0,10.0,2,3095,30950.0,https://y.qq.com/music/photo_new/T002R300x300M000002xwRC84FzjHZ_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592018
139,幼学琼林（卷二）,幼学琼林（卷二）,窦唯 / 朝简,合作歌手,2021/7/23,20.0,20.0,10,2881,57620.0,https://y.qq.com/music/photo_new/T002R300x300M000003qv56Q2aQNnX_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592009
140,医宜以疫,医宜以疫,窦唯 / 朝简,合作歌手,2021/11/30,20.0,20.0,2,2798,55960.0,https://p2.music.126.net/f1i3wHrMCWTfNouMFP_fdA==/109951166669786197.jpg?param=140y140,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592010
141,戏韵文音·红楼文曲 (上),戏韵文音·红楼文曲 (上),窦唯 / 朝简,合作歌手,2022/11/11,30.0,30.0,1,2611,78330.0,https://y.qq.com/music/photo_new/T002R300x300M0000005CoRr1uUc9O_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592004
142,幼学琼林（卷四）,幼学琼林（卷四）,窦唯 / 朝简,合作歌手,2021/8/6,20.0,20.0,6,2405,48100.0,https://y.qq.com/music/photo_new/T002R300x300M000002bOuk31zdUXR_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592012
143,贤文冬至乐会,贤文冬至乐会,窦唯 / 朝简,合作歌手,2023/1/22,30.0,30.0,14,2252,67560.0,https://y.qq.com/music/photo_new/T002R300x300M000001jWqgj2KRuid_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592007
144,幼学琼林 (卷一),幼学琼林 (卷一),窦唯 / 朝简,合作歌手,2021/7/16,20.0,20.0,6,2231,44620.0,https://y.qq.com/music/photo_new/T002R300x300M000002MKxTb45KYcy_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592013
145,幼学琼林（卷三）,幼学琼林（卷三）,窦唯 / 朝简,合作歌手,2021/7/30,20.0,20.0,7,2098,41960.0,https://y.qq.com/music/photo_new/T002R300x300M0000038HVBJ3jc0oA_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592014
