album,singer,identity,digit-date,price,song-number,total-volumn,total-sale,QQ音乐（张）,QQ音乐（元）,网易云音乐（张）,网易云音乐（元）,酷狗音乐（张）,酷狗音乐（元）,酷我音乐（张）,酷我音乐（元）,咪咕音乐（张）,咪咕音乐（元）,digit-img,entity-date,diff,entity-platform,entity-price,entity-form,实体价格2,形式2,entity-img,实体封面2,entity-thing,微博,singer-img,歌手图片2
U-Night Flight,UNINE,组合,2020/5/6,11,11,138243,1520673,123648,1360128,0,0,10443,114873,3855,42405,297,3267,https://y.qq.com/music/photo_new/T002R300x300M000000hLkRz2HMOqh_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003KPeeO4I0kVA_3.jpg?max_age=2592000,
UNFORGETTABLE,UNINE,组合,2020/9/30,6,3,82494,494964,70209,421254,0,0,7194,43164,3933,23598,1158,6948,https://y.qq.com/music/photo_new/T002R300x300M000001o87Qj29f0cq_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003KPeeO4I0kVA_3.jpg?max_age=2592000,
Youth 度,VOGUE 5,乐队,2019/4/12,4,2,30035,120140,0,0,30035,120140,0,0,0,0,0,0,https://p2.music.126.net/-rGueM2tlXS10R7jdUfD4Q==/109951163984630698.jpg,,,,,,,,,,,,https://p2.music.126.net/36cEd4fGh-x1NO09ibDYZQ==/109951167725210333.jpg,
X玖,X玖少年团,组合,2016/9/24,5,4,320439,1602195,0,0,0,0,110815,554075,209624,1048120,0,0,https://y.qq.com/music/photo_new/T002R300x300M000001r2Cdb1nbFbv_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T002R300x300M000002aVMdw29VRaO_2.jpg?max_age=2592000,,,,https://y.qq.com/music/photo_new/T001R300x300M0000027AqC13pAlsU_2.jpg?max_age=2592000,
Keep Online NO版,X玖少年团,组合,2018/5/9,10,4,266205,2676154,14546,145460,0,0,7392,87938,244267,2442756,0,0,https://y.qq.com/music/photo_new/T002R300x300M0000009NbmJ1egERM_1.jpg?max_age=2592000,2018/12/3,208,Owhat,159,USB,,,https://y.qq.com/music/photo_new/T002R300x300M0000009NbmJ1egERM_1.jpg?max_age=2592000,,写真集/海报/采访册子/小卡,https://weibo.com/5996136448/H5xtgo9QJ,https://y.qq.com/music/photo_new/T001R300x300M0000027AqC13pAlsU_2.jpg?max_age=2592000,
Keep Online YES版,X玖少年团,组合,2018/2/14,8,4,174197,1416081,20503,169967,0,0,33208,282208,120486,963906,0,0,https://y.qq.com/music/photo_new/T002R300x300M000002aVMdw29VRaO_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000027AqC13pAlsU_2.jpg?max_age=2592000,
与我无关,阿冗,大陆歌手,2020/1/2,1,1,312570,312570,0,0,312570,312570,0,0,0,0,0,0,https://p1.music.126.net/x-jReyGkM5OTKUEtTqXGoA==/109951164597332931.jpg,,,,,,,,,,,,https://p1.music.126.net/5mbCauWYUaHLNqd5t2l6kA==/109951166107573718.jpg,
不朽的?THE ART,阿云嘎,大陆歌手,2020/7/23,20,10,417700,8354000,360855,7217100,0,0,32755,655100,24090,481800,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003BfrXL2wgVBU_3.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000t1B6X1OCGos_6.jpg?max_age=2592000,
我说，你听,安九,大陆歌手,2020/4/15,8,8,963,8492,503,4098,0,0,439,4222,21,172,0,0,https://y.qq.com/music/photo_new/T002R300x300M000001f1iat1fy7XD_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001xunhv4L0KC2_5.jpg?max_age=2592000,
9522,安溥 anpu,台湾歌手,2022/10/28,30,16,37456,1123680,7361,220830,29901,897030,194,5820,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000004V8wTO0u5PFv_2.jpg?max_age=2592000,2022/12/19,52,五大唱片/博客来/佳佳,131.6,CD,,,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/022/80/0020228076.jpg&v=6305dbe9k&w=348&h=348,,书签/歌词本,,https://y.qq.com/music/photo_new/T001R300x300M000003v4gMz10uqEL_4.jpg?max_age=2592000,
漂浮宇宙,白鹿,其他,2022/5/26,3,1,35620,106860,22396,67188,0,0,12152,36456,1072,3216,0,0,https://y.qq.com/music/photo_new/T002R300x300M000000OiAIq2auRa9_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003KW00l2Kg9hu_5.jpg?max_age=2592000,
如果,毕雯珺,组合成员,2019/11/21,3,1,591631,1774893,0,0,591284,1773852,0,0,0,0,347,1041,https://y.qq.com/music/photo_new/T002R300x300M000000Fz4Hl2ZLhSQ_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002JKzM30KcGWt_3.jpg?max_age=2592000,
欲控,毕雯珺,组合成员,2020/11/21,3,1,396624,1189872,4985,14955,389391,1168173,2052,6156,0,0,196,588,https://y.qq.com/music/photo_new/T002R300x300M0000004SUXB3KoAoB_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002JKzM30KcGWt_3.jpg?max_age=2592000,
名为你的摄影集,毕雯珺,组合成员,2019/11/26,3,1,44716,134148,0,0,44539,133617,0,0,0,0,177,531,https://y.qq.com/music/photo_new/T002R300x300M000002yKtUX2xX4VU_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002JKzM30KcGWt_3.jpg?max_age=2592000,
Bself,毕雯珺,组合成员,2022/8/10,12,3,37043,444516,25789,309468,7108,85296,3892,46704,214,2568,40,480,https://y.qq.com/music/photo_new/T002R300x300M000004Pemkl0DEKWH_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002JKzM30KcGWt_3.jpg?max_age=2592000,
一辈子(A Lifetime),卜凡,大陆歌手,2019/7/12,3,1,141003,423009,136021,408063,0,0,3788,11364,979,2937,215,645,https://y.qq.com/music/photo_new/T002R300x300M000004WsckQ0UaeID_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002L2rUJ4PHACg_5.jpg?max_age=2592000,
新大陆,布瑞吉Bridge,rapper,2018/10/22,1,16,241347,241347,0,0,241347,241347,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003it0fc4JmIgR_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001Lrgte0IFmBq_6.jpg?max_age=2592000,
傻子与白痴,蔡维泽,大陆歌手,2018/8/3,5,2,44049,220245,39442,197210,0,0,3915,19575,692,3460,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003sDAJa0oFEfa_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000kWNAU3XqWhI_2.jpg?max_age=2592000,
YOUNG,蔡徐坤,大陆歌手,2019/7/26,5,2,14569948,72849740,14249692,71248460,8482,42410,245519,1227595,31621,158105,34634,173170,https://y.qq.com/music/photo_new/T002R300x300M0000019Oi682i0RfX_6.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002nXp292LIOGV_7.jpg?max_age=2592000,
迷,蔡徐坤,大陆歌手,2021/4/13,26,11,3480378,90489828,3351871,87148646,8230,213980,103697,2696122,7972,207272,8608,223808,https://y.qq.com/music/photo_new/T002R300x300M000003jicxY0UK9ew_6.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002nXp292LIOGV_7.jpg?max_age=2592000,
UGLY BEAUTY,蔡依林,台湾歌手,2018/12/26,20,11,832976,16659520,659680,13193600,0,0,138139,2762780,10925,218500,24232,484640,https://y.qq.com/music/photo_new/T002R300x300M000004KHjpn0p4Az7_1.jpg?max_age=2592000,2018/12/26,0,五大唱片/博客来/佳佳,119.82,CD,,,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/021/81/0020218177.jpg&v=5f1044c4k&w=348&h=348,,歌词本,,https://y.qq.com/music/photo_new/T001R300x300M0000027pdHE4STooO_5.jpg?max_age=2592000,
幸福路上,蔡依林,台湾歌手,2017/11/20,2,1,177611,355222,158389,316778,0,0,14810,29620,3623,7246,789,1578,https://y.qq.com/music/photo_new/T002R300x300M0000025q7k81QUS8p_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000027pdHE4STooO_5.jpg?max_age=2592000,
行吟,曹秦,大陆歌手,2021/8/23,20,13,154,3080,58,1160,65,1300,31,620,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003WvP5n12ERwh_1.jpg?max_age=2592000,2021/8/25,2,享乐音乐,68,CD,,,https://static.xlpai.com/upload/image/23/4b/de/234bdeb2213db541ae995b1740efd4dd.jpg_750x750.jpg,,歌词本,https://weibo.com/1891327303/Kv43vhhpz,https://y.qq.com/music/photo_new/T001R300x300M000003ki7u427nUIN_2.jpg?max_age=2592000,
SELF,曾可妮 / 刘令姿,合作歌手,2020/10/13,6,3,121361,728166,0,0,121188,727128,0,0,0,0,173,1038,https://y.qq.com/music/photo_new/T002R300x300M000003UdyNQ40TpTb_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000040ZJct3LllV2_4.jpg?max_age=2592000,https://y.qq.com/music/photo_new/T001R300x300M000001quNL934EIkz_3.jpg?max_age=2592000
同酌,查杰,大陆歌手,2023/5/20,4,1,547,2188,0,0,547,2188,0,0,0,0,0,0,https://p2.music.126.net/JYbdngElXT2y_MZD3aBr4w==/109951168620026315.jpg,,,,,,,,,,,,https://p1.music.126.net/9042iZ09WP8A3yzZzP1Ltw==/109951168622510278.jpg,
戏韵文音 (上·胡笳十八拍),朝简 / 史依弘 / 窦唯,合作歌手,2022/10/18,30,1,2498,74940,793,23790,1518,45540,160,4800,27,810,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003rR9Gb1tj4je_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592020,
戏韵文音 (二十四诗品),朝简 / 史依弘 / 窦唯,合作歌手,2022/10/24,30,1,2379,71370,640,19200,1597,47910,108,3240,34,1020,0,0,https://y.qq.com/music/photo_new/T002R300x300M000002yb7cX1jvat3_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592020,
侦探C,陈楚生&SPY.C,合作歌手,2017/3/29,12,10,8991,109458,3859,47874,3722,44664,1035,12420,375,4500,0,0,https://y.qq.com/music/photo_new/T002R300x300M000002NeW043BnC7S_1.jpg?max_age=2592000,2017/4/8,10,京东,64,CD,,,https://m.360buyimg.com/mobilecms/s750x750_jfs/t3256/139/9726227221/375644/5304dbf5/58df684dN6fb36bf1.jpg!q80.dpg,,歌词本,https://weibo.com/5448924854/EDwZEbvsH,https://y.qq.com/music/photo_new/T001R300x300M000000uVrpr28K9BS_2.jpg?max_age=2592000,
一只猴子 第三部曲,陈冠希,香港歌手,2017/9/3,15,8,53651,804765,53651,804765,0,0,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003x5EH21JrmJ6_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002FwRkR17Hl2X_2.jpg?max_age=2592000,
一只猴子 第二部曲,陈冠希,香港歌手,2017/9/29,5,3,36067,180335,36067,180335,0,0,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000002EJj6Y28uzlC_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002FwRkR17Hl2X_2.jpg?max_age=2592000,
一只猴子 第一部曲,陈冠希,香港歌手,2018/1/11,20,9,15669,313380,15669,313380,0,0,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000000rbhoy2OUEYK_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002FwRkR17Hl2X_2.jpg?max_age=2592000,
2018与荒野音乐会LIVE专辑,陈鸿宇,香港歌手,2018/9/17,17.7,10,12641,225191.4,929,17889,11712,207302.4,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003KoVLK4HWdO4_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001SXl8y2mQobu_3.jpg?max_age=2592000,
一半是我,陈立农,大陆歌手,2019/1/1,3,1,2869420,8608260,2688480,8065440,0,0,162681,488043,11892,35676,6367,19101,https://y.qq.com/music/photo_new/T002R300x300M000000lI2WE4F4K2p_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000W6adM4E0PK6_8.jpg?max_age=2592000,
我是你的,陈立农,大陆歌手,2018/10/3,3,1,2177311,6531933,1931757,5795271,0,0,208209,624627,34113,102339,3232,9696,https://y.qq.com/music/photo_new/T002R300x300M000000BT7a82jqNKM_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000W6adM4E0PK6_8.jpg?max_age=2592000,
格格不入,陈立农,大陆歌手,2020/5/29,20,12,719705,14436515,656250,13135054,36567,731340,21779,467482,1308,26619,3801,76020,https://y.qq.com/music/photo_new/T002R300x300M000003ehyNg2jOrKT_2.jpg?max_age=2592000,2020/5/29,0,京东,188,CD,,,https://img14.360buyimg.com/n1/jfs/t1/113064/18/17743/117912/5f5ec9e0E7de684f0/053477b3ad1a8540.jpg.avif,,海报/写真集/歌词本/,,https://y.qq.com/music/photo_new/T001R300x300M000000W6adM4E0PK6_8.jpg?max_age=2592000,
桃浦男孩,陈立农,大陆歌手,2020/10/3,3,1,247081,741243,207027,621081,0,0,34982,104946,3875,11625,1197,3591,https://y.qq.com/music/photo_new/T002R300x300M000004bu9xf3h8HY3_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000W6adM4E0PK6_8.jpg?max_age=2592000,
日心说 The Heliocentrism,陈立农,大陆歌手,2021/12/31,25,12,146382,3659550,115039,2875975,10219,255475,9676,241900,1718,42950,9730,243250,https://y.qq.com/music/photo_new/T002R300x300M000002duF1F0P8brM_2.jpg?max_age=2592000,2022/5/6,126,京东,188,CD,,,https://img14.360buyimg.com/n1/s546x546_jfs/t1/79378/17/18670/127948/627a199bEed150186/72cbe582899c9651.jpg.avif,,歌词本/写真集,,https://y.qq.com/music/photo_new/T001R300x300M000000W6adM4E0PK6_8.jpg?max_age=2592000,
小梦大半,陈粒,大陆歌手,2016/7/26,20,10,83210,1787666,32683,777126,50527,1010540,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000004fAhFe0fdHYF_1.jpg?max_age=2592000,2016/8/9,14,京东,120,CD,,,https://y.qq.com/music/photo_new/T002R300x300M000004fAhFe0fdHYF_1.jpg?max_age=2592000,,歌词本,https://weibo.com/2805678661/E29tyFpmG,https://y.qq.com/music/photo_new/T001R300x300M000004WgCsE3KBddt_3.jpg?max_age=2592000,
玩,陈粒,大陆歌手,2018/7/26,25,10,71692,1792300,56060,1401500,0,0,7824,195600,896,22400,6912,172800,https://y.qq.com/music/photo_new/T002R300x300M000003EHTi528PvZt_1.jpg?max_age=2592000,2018/10/15,81,京东,120,CD,199,黑胶,https://m.360buyimg.com/mobilecms/s750x750_jfs/t1/20980/8/5444/345489/5c3ec5d1E0fbd535c/a030ba48cac0d8f2.jpg!q80.dpg,https://img11.360buyimg.com/n1/jfs/t1/25806/14/5568/331646/5c3ec7f1Ec15c979c/c20cc6a6068c0db2.jpg.avif,歌词本/海报/写真集,,https://y.qq.com/music/photo_new/T001R300x300M000004WgCsE3KBddt_3.jpg?max_age=2592000,
大自在,陈粒,大陆歌手,2018/3/19,1,1,71680,71680,68220,68220,0,0,3139,3139,321,321,0,0,https://y.qq.com/music/photo_new/T002R300x300M000004TSoOf1Ehr9l_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004WgCsE3KBddt_3.jpg?max_age=2592000,
陈粒“在蓬莱”in Blue Note Beijing,陈粒,大陆歌手,2017/7/26,12,7,63905,766860,56072,672864,0,0,6325,75900,1508,18096,0,0,https://y.qq.com/music/photo_new/T002R300x300M0000047UARB3XhVX6_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004WgCsE3KBddt_3.jpg?max_age=2592000,
幻期颐,陈粒,大陆歌手,2016/3/8,2,1,43198,94568,42968,94108,0,0,0,0,230,460,0,0,https://y.qq.com/music/photo_new/T002R300x300M000002YWZDu1UoBIf_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004WgCsE3KBddt_3.jpg?max_age=2592000,
悠长假期,陈粒,大陆歌手,2021/8/17,25,10,33993,849825,30826,770650,0,0,2782,69550,385,9625,0,0,https://y.qq.com/music/photo_new/T002R300x300M000001908YE1JKe7c_3.jpg?max_age=2592000,2021/12/28,133,京东,120,CD,199,黑胶,https://img12.360buyimg.com/n1/jfs/t1/163058/20/24445/83430/61c95c99E72ac0ebd/16959c9c0d7493ec.jpg,,歌词本/笔/羊皮套,https://weibo.com/5876487659/L86zKwrQf,https://y.qq.com/music/photo_new/T001R300x300M000004WgCsE3KBddt_3.jpg?max_age=2592000,
隐形兽,陈粒,大陆歌手,2016/6/1,2,1,19322,39586,19322,39586,0,0,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003CTnxz4bqxFg_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004WgCsE3KBddt_3.jpg?max_age=2592000,
战神卡尔迪亚,陈珊妮,台湾歌手,2017/10/3,12,10,6903,83806,6573,79650,0,0,254,3048,76,1108,0,0,https://y.qq.com/music/photo_new/T002R300x300M000004dJnZ41Evpqi_1.jpg?max_age=2592000,2017/10/3,0,五大唱片/博客来/佳佳,122.13,CD,,,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/020/07/0020200717.jpg&v=59ccb309k&w=348&h=348,,歌词本,,https://y.qq.com/music/photo_new/T001R300x300M000000NqI9d1f4tCQ_3.jpg?max_age=2592000,
让我留在你身边,陈奕迅,香港歌手,2016/11/8,2,1,5771018,11542036,3650700,7301400,1355923,2711846,673152,1346304,91243,182486,0,0,https://y.qq.com/music/photo_new/T002R300x300M0000019Kyrr4RyQPS_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003Nz2So3XXYek_3.jpg?max_age=2592000,
在这个世界相遇,陈奕迅,香港歌手,2016/6/16,2,1,1794100,3588200,1061768,2123536,341718,683436,340990,681980,49624,99248,0,0,https://y.qq.com/music/photo_new/T002R300x300M000004dMsxC4gNo5U_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003Nz2So3XXYek_3.jpg?max_age=2592000,
I Do,陈奕迅,香港歌手,2016/9/26,2,1,1092464,2184928,660043,1320086,267523,535046,134213,268426,30685,61370,0,0,https://y.qq.com/music/photo_new/T002R300x300M000001KhJot0mfckd_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003Nz2So3XXYek_3.jpg?max_age=2592000,
放 & 披风,陈奕迅,香港歌手,2017/5/18,5,2,1043902,5219510,413851,2069255,260116,1300580,359646,1798230,10289,51445,0,0,https://y.qq.com/music/photo_new/T002R300x300M000002PwV2y1kmddb_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003Nz2So3XXYek_3.jpg?max_age=2592000,
海胆 & 谁来剪月光,陈奕迅,香港歌手,2017/8/4,5,2,976809,4884045,339060,1695300,273936,1369680,355700,1778500,5930,29650,2183,10915,https://y.qq.com/music/photo_new/T002R300x300M000002R02Wk19WXlG_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003Nz2So3XXYek_3.jpg?max_age=2592000,
L.O.V.E.,陈奕迅,香港歌手,2018/12/12,20,15,736270,14725400,303543,6070860,353140,7062800,58003,1160060,7692,153840,13892,277840,https://y.qq.com/music/photo_new/T002R300x300M000002hU81Y0FOVki_1.jpg?max_age=2592000,2019/5/14,153,享乐派,90,CD,,,https://wx1.sinaimg.cn/large/7d26b850gy1g316irocpej20m80m8n6e.jpg,,徽章/歌词本,,https://y.qq.com/music/photo_new/T001R300x300M000003Nz2So3XXYek_3.jpg?max_age=2592000,
C'mon in~,陈奕迅,香港歌手,2017/10/9,20,10,419183,8383660,210630,4212600,169150,3383000,31308,626160,3915,78300,4180,83600,https://y.qq.com/music/photo_new/T002R300x300M000003pE4He2Mk0u6_1.jpg?max_age=2592000,2017/10/9,0,五大唱片/博客来/佳佳,115.2,CD,288.36,黑胶,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/020/08/0020200897.jpg&v=59d5e196k&w=348&h=348,,歌词本,,https://y.qq.com/music/photo_new/T001R300x300M000003Nz2So3XXYek_3.jpg?max_age=2592000,
飞行模式,陈意涵Estelle,大陆歌手,2020/6/11,6,4,46648,280420,43999,264196,0,0,1599,9916,373,2246,677,4062,https://y.qq.com/music/photo_new/T002R300x300M000003HQf8r3mCUdw_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002yXVei3EgBnw_4.jpg?max_age=2592000,
聚焦-X,程潇,大陆歌手,2020/12/28,3,1,146596,439788,6205,18615,136860,410580,3451,10353,0,0,80,240,https://y.qq.com/music/photo_new/T002R300x300M000003kwOMO1ONGMT_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002DUcL420R8i1_5.jpg?max_age=2592000,
Lonely Beauty,程潇,大陆歌手,2022/2/25,4,1,22814,91256,11271,45084,5693,22772,5439,21756,325,1300,86,344,https://y.qq.com/music/photo_new/T002R300x300M000004PZ2Ok2ueHvu_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002DUcL420R8i1_5.jpg?max_age=2592000,
Imagine,程潇,大陆歌手,2023/5/25,4,1,18226,72904,11028,44112,2560,10240,4385,17540,253,1012,0,0,https://y.qq.com/music/photo_new/T002R300x300M000002tlikI3B3nuH_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002DUcL420R8i1_5.jpg?max_age=2592000,
廿叁,厨子和戏子,乐队,2018/3/23,3,4,2904,8712,572,1716,2166,6498,130,390,36,108,0,0,https://y.qq.com/music/photo_new/T002R300x300M000004f6Y9P45TXqv_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001H6hhD17S7cb_2.jpg?max_age=2592000,
赤子白仙,刺猬,乐队,2020/7/13,20,12,48010,960200,0,0,47778,955560,0,0,0,0,232,4640,https://p1.music.126.net/Zg2qr5s-iJAHH_RDTphoDA==/109951165125444849.jpg,2020/7/13,0,秀动,300,黑胶,120,CD,https://p1.music.126.net/Zg2qr5s-iJAHH_RDTphoDA==/109951165125444849.jpg,,歌词本,https://weibo.com/1832239772/JaV8HBGJs,https://p2.music.126.net/BFgHbG3pm4pDRFnI_OtChA==/109951168352000610.jpg,
How we do it,戴萌,大陆歌手,2021/5/18,3,1,389025,1167075,0,0,388897,1166691,0,0,0,0,128,384,https://y.qq.com/music/photo_new/T002R300x300M000004Mgfbt0vgFBp_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004fZobQ1hDHq6_6.jpg?max_age=2592000,
太阳的后裔台湾版片头片尾曲,戴佩妮,台湾歌手,2016/6/16,4,2,13652,56954,13652,56954,0,0,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003HiD7y02aj0v_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000012mAqa27UcEi_5.jpg?max_age=2592000,
勇敢额度,单依纯,大陆歌手,2022/1/2,20,10,56953,1139060,48200,964000,0,0,8037,160740,716,14320,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003HbqtO2E8JK2_1.jpg?max_age=2592000,2022/12/13,345,QQ音乐,279,黑胶,,,https://wx3.sinaimg.cn/large/0066T32uly1h9dpswsc6fj30u00u0q6d.jpg,,歌词本/小卡/海报,https://weibo.com/7736192131/MkKwTrArz,https://y.qq.com/music/photo_new/T001R300x300M000002ug9Ha2zYM1y_7.jpg?max_age=2592000,
D,邓典,大陆歌手,2018/8/3,5,2,49131,245655,45115,225575,0,0,3382,16910,634,3170,0,0,https://y.qq.com/music/photo_new/T002R300x300M0000033rWL50daJct_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000mU3c82mo0K1_4.jpg?max_age=2592000,
另一个童话,邓紫棋,香港歌手,2018/8/16,7,3,299098,2093714,246889,1728251,0,0,49556,346892,2653,18571,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003cKIKZ1J4Yyu_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001fNHEf1SFEFN_7.jpg?max_age=2592000,
睡皇后,邓紫棋,香港歌手,2018/12/14,7,3,201798,1412586,164916,1154412,0,0,33347,233429,3310,23170,225,1575,https://y.qq.com/music/photo_new/T002R300x300M000003w92u63Kz75u_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001fNHEf1SFEFN_7.jpg?max_age=2592000,
毒苹果,邓紫棋,香港歌手,2018/10/26,7,3,189133,1323973,155520,1088682,0,0,30733,215131,1814,12698,1066,7462,https://y.qq.com/music/photo_new/T002R300x300M000000Qy6FL03pkEU_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001fNHEf1SFEFN_7.jpg?max_age=2592000,
澈,翟潇闻,大陆歌手,2022/5/28,18,5,106766,1921788,0,0,106766,1921788,0,0,0,0,0,0,https://p2.music.126.net/Ho2amW1ibMwYiceCCWRL3A==/109951167471880011.jpg,2022/9/13,108,微店/网易云音乐,238,CD,,,https://si.geilicdn.com/pcitem1354708611-396b0000018322b1d2ae0a2313c4_700_700.jpg.webp?w=750&h=750&cp=1,,杯子/海报/小卡/歌词/随写笔记/明信片/贴纸,https://weibo.com/7211209183/M4VSZgOO2,https://p1.music.126.net/VDcDMDXk9TtNoR4X4LlpLg==/109951167485088428.jpg,
糊得如此独特,丁飞俊,香港歌手,2020/3/23,6,3,16394,98364,13983,83898,0,0,2141,12846,270,1620,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003QTlp44aNP5V_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002twQM51cpmjs_4.jpg?max_age=2592000,
无瑕,丁泽仁,组合成员,2019/11/19,3,1,107392,322176,0,0,107292,321876,0,0,0,0,100,300,https://y.qq.com/music/photo_new/T002R300x300M000004UuNN40pwEik_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000HZ2dP0KPVnS_4.jpg?max_age=2592000,
