album,singer,identity,digit-date,price,song-number,total-volumn,total-sale,QQ音乐（张）,QQ音乐（元）,网易云音乐（张）,网易云音乐（元）,酷狗音乐（张）,酷狗音乐（元）,酷我音乐（张）,酷我音乐（元）,咪咕音乐（张）,咪咕音乐（元）,digit-img,entity-date,diff,entity-platform,entity-price,entity-form,实体价格2,形式2,entity-img,实体封面2,entity-thing,微博,singer-img,歌手图片2
NEXT BEGINS,NEXT,组合,2019/11/8,10,4,63699,636990,0,0,63297,632970,0,0,0,0,402,4020,https://p1.music.126.net/Ckdu7TEsqNEuhzNsaEl_kg==/109951164473800861.jpg,,,,,,,,,,,,https://p2.music.126.net/-Nx0AjRZ6TozdtFjNldzww==/109951163464664753.jpg,
TO THE NINES,NINE PERCENT,组合,2018/11/20,20,7,1420040,28400800,868370,17367400,0,0,285993,5719860,58312,1166240,207365,4147300,https://y.qq.com/music/photo_new/T002R300x300M000000jXsoU3hj9Wg_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000022eo0c4PLCxi_2.jpg?max_age=2592000,
限定的记忆,NINE PERCENT,组合,2019/9/26,9,9,930041,8370369,725375,6528375,0,0,185295,1667655,11842,106578,7529,67761,https://y.qq.com/music/photo_new/T002R300x300M000000G6dxl0ZbiGt_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000022eo0c4PLCxi_2.jpg?max_age=2592000,
Goodbye,NINEONE# / BULL,rapper,2020/9/30,5,2,166655,833275,0,0,166655,833275,0,0,0,0,0,0,https://p1.music.126.net/Y__DUD6JA7nPrqJ2pN__Mw==/109951165350093928.jpg,,,,,,,,,,,,https://p2.music.126.net/ZVtGmr_4x7PjhAiSQRcmbQ==/109951168701040129.jpg,https://p1.music.126.net/nprQ2YDy3SrLwuuQCNUe6Q==/109951168623453211.jpg
Baby I Do,ONER,组合,2018/12/24,3,3,589817,1769451,560990,1682970,70,210,21668,65004,7089,21267,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003mm4ak1OiT9Y_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001O93tk2nlY9T_5.jpg?max_age=2592000,
舞会,ONER,组合,2019/6/14,15,8,169379,2540685,147117,2206755,250,3750,14436,216540,5743,86145,1833,27495,https://y.qq.com/music/photo_new/T002R300x300M000002aGyPo2OOc4c_1.jpg?max_age=2592000,2019/11/26,165,owaht,68,CD,,,https://y.qq.com/music/photo_new/T002R300x300M000002aGyPo2OOc4c_1.jpg?max_age=2592000,,写真集/邀请函/小卡,https://weibo.com/6524267181/IiivIFCUb,https://y.qq.com/music/photo_new/T001R300x300M000001O93tk2nlY9T_5.jpg?max_age=2592000,
恶浪,ONER,组合,2020/8/30,15,8,64775,979735,57583,867121,1925,28875,3856,62490,854,12894,557,8355,https://y.qq.com/music/photo_new/T002R300x300M000000EWsAH2GEzHQ_2.jpg?max_age=2592000,2020/10/1,32,坤音商场,368,USB,129,CD,https://y.qq.com/music/photo_new/T002R300x300M000000EWsAH2GEzHQ_2.jpg?max_age=2592000,,透明包/封面卡/钥匙/写真集/胸针/歌词本/小卡,https://weibo.com/6524267181/JnaadvSAy,https://y.qq.com/music/photo_new/T001R300x300M000001O93tk2nlY9T_5.jpg?max_age=2592000,
见面吧！爱豆-ONER见面会Live特别版礼盒,ONER,组合,2018/10/30,5,3,61773,308865,61773,308865,0,0,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M0000014H2Bi0qtDxu_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001O93tk2nlY9T_5.jpg?max_age=2592000,
黑夜闭上双眼(Close my eyes),ONER灵超,组合成员,2019/7/12,3,1,312493,937479,302450,907350,130,390,7850,23550,1629,4887,434,1302,https://y.qq.com/music/photo_new/T002R300x300M000000MYjrB194qXT_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001WXSUt2EttMB_4.jpg?max_age=2592000,
Rebellious,ONER灵超,组合成员,2021/1/11,8,4,45691,365884,41526,332318,441,3528,2625,21243,863,6907,236,1888,https://y.qq.com/music/photo_new/T002R300x300M000003Y8AOv075Nha_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001WXSUt2EttMB_4.jpg?max_age=2592000,
